site,microsite,week,rep,animal,captures,n,rate
Mojave,larrea,1,16,jackrabbit,3,3,1
Mojave,larrea,1,16,kangaroo rat,10,10,1
Mojave,larrea,1,16,none,0,670,0
Mojave,larrea,1,16,unknown,7,7,1
Mojave,larrea,2,2,bird,2,2,1
Mojave,larrea,2,2,cottontail,10,11,0.9090909090909091
Mojave,larrea,2,2,jackrabbit,3,3,1
Mojave,larrea,2,2,kangaroo rat,5,5,1
Mojave,larrea,2,2,none,0,2121,0
Mojave,larrea,2,2,unknown,4,5,0.8
Mojave,larrea,2,4,cottontail,13,13,1
Mojave,larrea,2,4,jackrabbit,1,1,1
Mojave,larrea,2,4,kangaroo rat,10,10,1
Mojave,larrea,2,4,lizard,2,2,1
Mojave,larrea,2,4,none,0,1640,0
Mojave,larrea,2,4,unknown,8,8,1
Mojave,larrea,2,5,cottontail,3,3,1
Mojave,larrea,2,5,jackrabbit,8,8,1
Mojave,larrea,2,5,kangaroo rat,11,11,1
Mojave,larrea,2,5,lizard,2,2,1
Mojave,larrea,2,5,none,0,4259,0
Mojave,larrea,2,5,unknown,6,6,1
Mojave,larrea,2,10,cottontail,16,16,1
Mojave,larrea,2,10,jackrabbit,13,13,1
Mojave,larrea,2,10,kangaroo rat,17,17,1
Mojave,larrea,2,10,lizard,2,2,1
Mojave,larrea,2,10,none,0,2009,0
Mojave,larrea,2,10,unknown,1,1,1
Mojave,larrea,2,13,cottontail,15,15,1
Mojave,larrea,2,13,jackrabbit,1,1,1
Mojave,larrea,2,13,kangaroo rat,6,6,1
Mojave,larrea,2,13,lizard,1,1,1
Mojave,larrea,2,13,none,0,5541,0
Mojave,larrea,2,13,unknown,6,6,1
Mojave,larrea,2,14,chipmunk,1,1,1
Mojave,larrea,2,14,cottontail,5,5,1
Mojave,larrea,2,14,kangaroo rat,5,5,1
Mojave,larrea,2,14,none,0,3037,0
Mojave,larrea,2,14,unknown,2,2,1
Mojave,larrea,2,15,bird,3,3,1
Mojave,larrea,2,15,cottontail,9,9,1
Mojave,larrea,2,15,jackrabbit,5,5,1
Mojave,larrea,2,15,kangaroo rat,18,18,1
Mojave,larrea,2,15,lizard,1,1,1
Mojave,larrea,2,15,none,0,5323,0
Mojave,larrea,2,15,unknown,11,11,1
Mojave,larrea,2,16,cottontail,4,4,1
Mojave,larrea,2,16,jackrabbit,5,5,1
Mojave,larrea,2,16,none,0,1239,0
Mojave,larrea,2,16,unknown,6,6,1
Mojave,larrea,3,2,bird,4,4,1
Mojave,larrea,3,2,cat,4,4,1
Mojave,larrea,3,2,cottontail,12,12,1
Mojave,larrea,3,2,jackrabbit,12,12,1
Mojave,larrea,3,2,kangaroo rat,10,10,1
Mojave,larrea,3,2,none,0,8019,0
Mojave,larrea,3,2,unknown,2,2,1
Mojave,larrea,3,4,cottontail,45,45,1
Mojave,larrea,3,4,mouse,5,5,1
Mojave,larrea,3,4,none,0,945,0
Mojave,larrea,3,4,rat,1,1,1
Mojave,larrea,3,4,unknown,4,4,1
Mojave,larrea,3,5,cottontail,10,10,1
Mojave,larrea,3,5,ground squirrel,3,3,1
Mojave,larrea,3,5,jackrabbit,3,3,1
Mojave,larrea,3,5,kangaroo rat,5,5,1
Mojave,larrea,3,5,lizard,1,1,1
Mojave,larrea,3,5,none,0,3801,0
Mojave,larrea,3,10,bird,1,1,1
Mojave,larrea,3,10,none,0,5733,0
Mojave,larrea,3,13,none,0,593,0
Mojave,larrea,3,14,butterfly,17,17,1
Mojave,larrea,3,14,cottontail,3,3,1
Mojave,larrea,3,14,ground squirrel,2,2,1
Mojave,larrea,3,14,jackrabbit,2,2,1
Mojave,larrea,3,14,lizard,2,2,1
Mojave,larrea,3,14,none,0,7880,0
Mojave,larrea,3,14,unknown,115,115,1
Mojave,larrea,3,15,jackrabbit,9,9,1
Mojave,larrea,3,15,none,NA,1077,NA
Mojave,larrea,3,16,cottontail,13,13,1
Mojave,larrea,3,16,kangaroo rat,1,1,1
Mojave,larrea,3,16,none,0,3860,0
Mojave,larrea,3,16,unknown,13,13,1
Mojave,larrea,3,NA,none,0,1,0
